,_id,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,liked,your_name
112,6161b980425e092516eb7038,1zQjzfgYp0ZDSsU1dxi5g8,0.535,0.749,9,-5.344,1,0.0525,0.113,0.0,0.108,0.705,169.778,186973,4,0,honeyd3wy
113,6161b980425e092516eb703f,3I4WFddKpe2PGZWFh7f10J,0.554,0.722,11,-6.005,1,0.034,0.119,0.0,0.0861,0.558,134.058,216960,4,0,honeyd3wy
114,6161b980425e092516eb702b,3lUg5sjsXAJD6BAULCFTA5,0.54,0.513,11,-6.978,1,0.0331,0.713,0.0,0.149,0.51,78.862,197658,3,0,honeyd3wy
115,6161b980425e092516eb705f,0lrcuzg1hXJ6xgcMm4yceu,0.614,0.693,6,-5.173,1,0.0375,0.0877,0.0,0.132,0.585,138.007,214760,4,0,honeyd3wy
116,6161c792f4a68f52a28e009f,55kuHkT2CWhWKF6CoRDnJq,0.653,0.923,8,-2.163,0,0.0621,0.145,0.0,0.137,0.692,114.902,208053,4,1,honeyd3wy
117,6161b980425e092516eb7046,5wTt43UbS3HmDvzAJ7Yax3,0.543,0.723,6,-4.892,1,0.0499,0.165,0.0,0.11,0.428,143.028,177027,4,0,honeyd3wy
118,6161c792f4a68f52a28e00a7,6AdhHZfTC4ep1b2v7L0Hfl,0.41,0.654,9,-3.966,1,0.067,0.14,0.0,0.126,0.341,184.736,195249,4,1,honeyd3wy
119,6161b980425e092516eb7025,6biq5BjD7UAXpefEgDVbp5,0.663,0.686,4,-4.549,0,0.0304,0.124,0.0,0.112,0.444,111.971,187333,4,0,honeyd3wy
120,6161b3e6f7207f813e54c7a2,7kc18MyDGLhUGvKflOwBo1,0.745,0.781,6,-3.59,1,0.0535,0.126,0.0,0.0508,0.617,121.941,212613,4,1,honeyd3wy
121,6161b980425e092516eb705e,4j6GMcVcqZf1r0GDqMtYp6,0.6,0.698,9,-5.86,1,0.0355,0.0724,1.64e-06,0.113,0.57,140.032,210373,4,0,honeyd3wy
122,6161b3e6f7207f813e54c798,2gvlPqqngL3BppFCwLXnVc,0.717,0.868,7,-3.073,1,0.04,0.438,0.0,0.148,0.552,100.005,215880,4,1,honeyd3wy
123,6161c792f4a68f52a28e007e,6tU92qp9bJWAW86IHUggUa,0.78,0.816,9,-3.724,1,0.141,0.203,0.0,0.364,0.674,130.014,199027,4,1,honeyd3wy
124,6161b980425e092516eb703b,7yFhA2fUsL2oIMWlw5DaHQ,0.612,0.57,11,-6.642,0,0.0347,0.278,0.0,0.0963,0.334,77.004,197293,4,0,honeyd3wy
125,6161b3e6f7207f813e54c78c,5iIpbD34k4wnuRMZDNnuWf,0.883,0.845,11,-2.069,1,0.0585,0.0161,0.00157,0.29,0.656,116.004,174173,4,1,honeyd3wy
126,6161b980425e092516eb706e,56eGOeSsqdg3FLxdo83TwV,0.655,0.56,9,-6.857,1,0.0486,0.749,0.0,0.115,0.599,140.975,198440,4,0,honeyd3wy
